IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
172.64.229.114,4,4,0.00,24.37,223.72,LAX
198.41.214.114,4,4,0.00,21.17,212.52,LAX
172.64.40.210,4,4,0.00,29.83,116.06,LAX
